Temp,Hum,Wind,Presure,Solar,ET,radiacion mayor a 500 evento simple,Evento compuesto radiacion solar>500 y evotranspiracion>.2,evento interseccion radiacion solar>500 ET>.2 
"19,8","94,2",0,"1012,2","0,00",0,0,0,
"19,3",94,"0,27","1012,1","0,00",0,0,0,
"19,1","94,5",0,1012,"0,00",0,0,0,
"19,2","94,8",0,"1011,8","0,00",0,0,0,
"19,5","94,8",0,"1011,5","0,00",0,0,0,
"19,6","95,2",0,"1010,9","0,00",0,0,0,
"19,8","95,2",0,"1010,4","0,00",0,0,0,
"19,7","95,2",0,"1010,3","0,00",0,0,0,
"19,4","95,8",0,1011,"0,00",0,0,0,
"19,5","96,7","0,27","1011,7","26,33",0,0,0,
"20,7","93,2",0,"1012,1","130,33","0,08",0,0,
"23,2","84,7","0,8","1012,4","281,67","0,2",0,0,
"24,5","78,7","1,33","1012,5","461,50","0,33",0,0,
"26,9","70,5","1,6","1012,1","617,50","0,48",1,1,
"28,9","65,2","1,6","1011,3","733,17","0,53",1,1,
"28,9","65,2","3,47","1010,2","883,67","0,66",1,1,
"28,8","65,2","4,27","1008,9","661,83","0,51",1,1,
"28,4","65,7","2,4","1008,1","395,17","0,3",0,0,
"27,6","68,5",4,"1007,5","316,17","0,25",0,0,
"25,4","76,3","2,93","1007,7","69,83","0,05",0,0,
"24,4",79,"3,73","1008,2","41,83","0,03",0,0,
"23,8","81,8","2,93","1008,9","1,67","0,03",0,0,
"23,3","83,8","1,6",1010,"0,00","0,03",0,0,
"22,5","88,2","1,07","1010,6","0,00","0,03",0,0,
"21,8","91,3",0,1011,"0,00",0,0,0,
"21,6","93,3",0,"1011,2","0,00",0,0,0,
"21,7","94,7",0,"1010,9","0,00",0,0,0,
"21,7","94,7","0,27","1010,5","0,00",0,0,0,
"21,6","95,2",0,"1010,1","0,00",0,0,0,
"21,5","94,2","0,27","1009,7","0,00",0,0,0,
"21,4","93,8",0,"1009,3","0,00",0,0,0,
"21,3","93,8","0,27","1009,4","0,00",0,0,0,
"21,2","94,2",0,"1009,7","0,00",0,0,0,
"21,4","92,8",0,"1010,1","21,17",0,0,0,
"23,6","85,6","1,07","1011,3","224,40","0,13",0,0,
"24,7","79,8","0,8","1011,6","341,00","0,18",0,0,
"27,2","70,7","0,8","1011,3","460,83","0,36",0,0,
"26,6","72,7","1,33",1011,"381,17","0,23",0,0,
"28,5","65,5","1,87","1010,4","660,33","0,48",1,1,
"29,3","62,2","1,87","1009,9","487,17","0,38",0,0,
"28,8",66,"3,2","1009,2","517,33","0,46",1,1,
"28,5","66,8","2,4","1008,2","376,50","0,3",0,0,
"28,4","67,3","3,73","1007,9","406,00","0,33",0,0,
"24,6","83,5","3,2","1008,6","46,17","0,05",0,0,
"22,7","91,2","2,13","1009,7","22,33",0,0,0,
"22,5","90,2","1,6","1010,6","0,17",0,0,0,
"22,6","89,2","0,8","1011,4","0,00",0,0,0,
"22,3","89,8","2,13","1011,9","0,00","0,03",0,0,
"22,2","89,7",0,"1012,6","0,00",0,0,0,
"21,8","91,5",0,"1012,8","0,00",0,0,0,
"21,7","92,2",0,"1012,6","0,00",0,0,0,
"21,5",92,"0,27","1012,4","0,00",0,0,0,
"21,4",92,0,1012,"0,00",0,0,0,
"21,4","91,7",0,"1011,8","0,00",0,0,0,
"21,5","92,8","0,53","1011,8","0,00",0,0,0,
"21,4","92,5","0,53",1012,"0,00",0,0,0,
"21,3","92,3","1,07","1012,7","0,00",0,0,0,
"21,8","90,8","0,27","1013,6","54,00","0,03",0,0,
"23,5","84,5","0,8","1014,4","212,50","0,1",0,0,
"26,2","74,7","1,07",1015,"409,67","0,28",0,0,
"27,6","68,3","1,6","1014,8","632,00","0,43",1,1,
"28,9",63,"1,87","1014,4","652,17","0,53",1,1,
"30,1","58,3","2,13","1013,5","666,00","0,51",1,1,
"30,3","60,2","3,2","1012,7","693,67","0,56",1,1,
"30,4","59,7",4,"1011,9","825,00","0,61",1,1,
"30,1","61,8","5,07","1010,7","698,50","0,58",1,1,
"29,9","62,7","4,27","1010,3","509,83","0,43",1,1,
"28,4","66,3","3,2","1010,8","214,67","0,23",0,0,
"25,8",75,"1,87","1011,8","22,00","0,03",0,0,
"24,3","80,5","2,67","1012,5","0,00","0,03",0,0,
"23,7","83,2","1,6",1013,"0,00","0,03",0,0,
"23,5","83,7","0,8","1013,7","0,00","0,03",0,0,
"23,2","85,3","0,27",1014,"0,00","0,03",0,0,
"22,7","87,8",0,"1013,8","0,00",0,0,0,
"22,3","88,7",0,"1013,2","0,00",0,0,0,
22,"89,5",0,"1012,9","0,00",0,0,0,
"21,8",90,0,"1012,6","0,00",0,0,0,
"21,7","91,5","0,53","1012,2","0,00",0,0,0,
"21,8","91,7",0,"1011,8","0,00",0,0,0,
"21,4","92,8",0,"1012,2","0,00",0,0,0,
"21,5","92,7",0,"1012,6","0,17",0,0,0,
"21,8","92,5",0,"1012,9","53,17",0,0,0,
"24,3","83,3","0,53","1013,2","245,33","0,15",0,0,
"25,8",77,"1,6","1013,5","280,50","0,2",0,0,
28,"69,2","1,6","1013,5","617,67","0,41",1,1,
"30,1","60,5","1,6","1012,9","822,33","0,61",1,1,
"31,1","57,8","2,4","1012,1","663,50","0,58",1,1,
"29,1","67,2","5,07","1011,1","573,33","0,48",1,1,
"27,1",70,"6,93","1010,5","397,33","0,36",0,0,
24,"84,3","1,87","1010,7","69,83","0,05",0,0,
"23,2","86,8","2,4","1010,2","101,50","0,08",0,0,
"23,3","84,2","1,6","1010,5","60,50","0,05",0,0,
"23,1",82,"1,6",1011,"21,17","0,03",0,0,
"22,5","81,3","1,6",1012,"0,00",0,0,0,
22,"83,8",0,"1012,2","0,00","0,03",0,0,
"21,6","87,5","0,53","1013,3","0,00","0,03",0,0,
"21,4","89,5","0,27",1014,"0,00",0,0,0,
"21,2","88,8","0,27","1014,2","0,00",0,0,0,
"21,1","89,7","0,27","1013,8","0,00",0,0,0,
"21,1","90,5",0,"1013,4","0,00",0,0,0,
"21,1",92,"0,27","1013,1","0,00",0,0,0,
"21,2","92,5",0,"1012,6","0,00",0,0,0,
21,"92,5","0,53","1012,5","0,00",0,0,0,
"20,4","95,7","0,27","1012,8","0,00",0,0,0,
"20,3","96,5",0,"1012,7","0,33",0,0,0,
"20,5","96,8",0,1013,"20,83",0,0,0,
21,"94,2",0,"1013,9","88,00","0,05",0,0,
"22,1","90,7",0,"1014,5","199,50","0,1",0,0,
